dataset,run_id,seed,algorithm_type,iteration_limit,total_time,cost,solution,elapsed_time,iteration
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,2665,"[1, 50, 60, 98, 39, 95, 42, 87, 94, 16, 99, 3, 1, 40, 76, 13, 97, 9, 67, 81, 77, 41, 51, 34, 71, 32, 18, 47, 1, 54, 96, 59, 49, 12, 30, 28, 29, 70, 55, 78, 75, 93, 85, 79, 92, 1, 61, 19, 37, 20, 84, 45, 88, 65, 57, 56, 27, 25, 38, 86, 101, 91, 1, 14, 62, 64, 44, 43, 2, 53, 31, 80, 52, 21, 89, 6, 17, 7, 1, 24, 73, 58, 74, 23, 5, 26, 4, 82, 22, 68, 36, 1, 11, 8, 63, 48, 83, 69, 10, 33, 72, 66, 1, 90, 100, 15, 35, 46, 1]",0.133113,0
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,2197,"[1, 29, 56, 4, 90, 95, 7, 92, 101, 10, 30, 14, 27, 41, 58, 75, 26, 25, 43, 93, 47, 1, 3, 98, 96, 16, 44, 50, 48, 37, 42, 23, 73, 24, 57, 1, 28, 38, 99, 86, 94, 60, 51, 70, 2, 54, 91, 12, 11, 1, 84, 6, 45, 62, 97, 100, 83, 9, 46, 5, 74, 31, 59, 61, 1, 49, 85, 18, 64, 33, 13, 22, 40, 76, 32, 8, 89, 1, 78, 69, 80, 71, 67, 77, 88, 17, 15, 39, 79, 1, 63, 55, 81, 34, 82, 36, 35, 21, 72, 66, 65, 20, 19, 52, 1, 53, 87, 68, 1]",0.26521,1
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,1967,"[1, 43, 86, 49, 83, 48, 91, 9, 46, 18, 6, 100, 85, 61, 1, 51, 53, 22, 5, 40, 24, 42, 23, 70, 32, 39, 57, 16, 92, 47, 1, 37, 8, 17, 62, 99, 38, 101, 60, 88, 98, 14, 7, 75, 74, 3, 58, 1, 97, 96, 95, 79, 13, 54, 15, 45, 87, 84, 20, 25, 56, 1, 41, 27, 29, 28, 77, 30, 81, 78, 82, 72, 10, 11, 12, 21, 71, 1, 93, 73, 76, 68, 26, 94, 55, 69, 4, 80, 34, 1, 59, 64, 33, 36, 52, 67, 2, 31, 50, 63, 89, 90, 1, 19, 65, 66, 35, 44, 1]",0.396537,2
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,1911,"[1, 37, 53, 48, 95, 98, 18, 9, 8, 61, 36, 35, 79, 51, 2, 70, 52, 82, 34, 1, 54, 14, 97, 7, 90, 19, 60, 93, 92, 96, 66, 10, 5, 29, 1, 63, 12, 89, 43, 101, 45, 87, 58, 39, 38, 99, 100, 85, 6, 47, 1, 25, 67, 21, 28, 77, 69, 13, 75, 42, 23, 76, 74, 41, 22, 1, 32, 88, 84, 94, 86, 15, 17, 62, 46, 71, 1, 49, 20, 65, 64, 33, 91, 16, 44, 50, 83, 11, 31, 56, 1, 59, 73, 3, 27, 81, 78, 4, 80, 30, 24, 57, 40, 1, 55, 68, 26, 72, 1]",0.527306,3
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,1830,"[1, 60, 54, 59, 14, 3, 34, 80, 82, 79, 5, 26, 35, 36, 1, 7, 96, 17, 45, 38, 99, 97, 90, 73, 57, 56, 27, 65, 50, 37, 47, 92, 1, 8, 28, 89, 32, 31, 11, 85, 94, 101, 93, 95, 100, 98, 16, 18, 1, 53, 49, 83, 48, 62, 86, 44, 58, 23, 22, 74, 42, 1, 41, 75, 76, 68, 40, 55, 88, 30, 81, 78, 4, 43, 46, 1, 12, 20, 63, 51, 72, 67, 66, 10, 69, 77, 71, 21, 1, 29, 70, 2, 9, 84, 61, 19, 6, 87, 39, 15, 24, 25, 91, 1, 13, 33, 64, 52, 1]",0.658626,4
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,1813,"[1, 54, 28, 71, 31, 13, 69, 23, 24, 4, 82, 79, 1, 41, 15, 43, 101, 86, 60, 94, 27, 81, 55, 56, 25, 26, 42, 92, 1, 53, 32, 11, 63, 91, 12, 89, 19, 49, 50, 37, 18, 62, 61, 7, 47, 1, 97, 9, 83, 20, 48, 90, 100, 93, 95, 44, 17, 45, 46, 85, 1, 80, 34, 51, 33, 65, 75, 76, 68, 73, 99, 38, 96, 58, 1, 3, 2, 10, 72, 67, 66, 36, 21, 52, 70, 14, 88, 29, 30, 1, 98, 59, 40, 5, 57, 74, 22, 35, 77, 78, 6, 84, 64, 8, 1, 87, 39, 16, 1]",0.790548,5
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,1795,"[1, 29, 99, 95, 98, 96, 101, 93, 43, 100, 90, 86, 6, 1, 23, 76, 57, 89, 12, 64, 65, 33, 11, 71, 2, 70, 27, 24, 75, 92, 18, 47, 1, 28, 63, 32, 8, 9, 48, 37, 20, 50, 40, 26, 56, 25, 79, 1, 13, 55, 69, 4, 51, 10, 30, 77, 78, 80, 88, 1, 31, 52, 36, 82, 34, 35, 39, 44, 58, 3, 81, 41, 94, 38, 62, 54, 1, 42, 73, 14, 7, 61, 19, 84, 46, 85, 59, 83, 53, 91, 21, 67, 72, 1, 66, 68, 5, 22, 74, 16, 15, 17, 87, 45, 97, 1, 60, 49, 1]",0.923036,6
E-n101-k8,6adb661e-29d4-4539-a2a6-b50de0d203d2,1117932251,AC,10,1.322534,1770,"[1, 74, 75, 24, 76, 23, 3, 22, 73, 93, 43, 92, 38, 62, 46, 6, 18, 56, 1, 64, 53, 7, 95, 94, 101, 17, 44, 15, 16, 98, 58, 2, 80, 79, 25, 1, 49, 63, 48, 37, 20, 12, 33, 78, 30, 81, 57, 41, 27, 1, 90, 50, 65, 19, 28, 54, 14, 88, 29, 32, 89, 61, 1, 34, 82, 10, 69, 13, 36, 72, 66, 35, 21, 31, 71, 1, 11, 91, 70, 51, 4, 77, 40, 26, 55, 5, 68, 42, 47, 85, 83, 8, 1, 84, 97, 96, 99, 86, 100, 45, 87, 39, 59, 9, 1, 60, 67, 52, 1]",1.056357,7
E-n101-k8,76ea810b-31bf-4568-ba20-6e0d75079e4d,1117932251,AC,10,1.322125,2500,"[1, 70, 13, 82, 21, 31, 78, 34, 66, 16, 92, 17, 46, 10, 36, 79, 7, 1, 100, 60, 94, 83, 42, 23, 54, 90, 62, 99, 88, 18, 101, 93, 56, 47, 1, 38, 96, 97, 58, 74, 22, 65, 91, 89, 80, 4, 55, 51, 71, 52, 14, 85, 1, 28, 5, 73, 75, 68, 63, 15, 3, 6, 19, 45, 37, 1, 29, 41, 86, 81, 98, 44, 39, 87, 2, 33, 59, 8, 1, 49, 50, 12, 48, 77, 61, 84, 24, 76, 57, 43, 30, 1, 53, 32, 69, 25, 26, 40, 9, 95, 35, 72, 27, 1, 11, 64, 20, 67, 1]",0.133271,0
E-n101-k8,76ea810b-31bf-4568-ba20-6e0d75079e4d,1117932251,AC,10,1.322125,1887,"[1, 41, 69, 4, 79, 80, 81, 25, 30, 97, 100, 93, 38, 29, 99, 7, 95, 9, 61, 1, 53, 89, 32, 63, 20, 12, 21, 26, 56, 34, 52, 82, 8, 83, 37, 28, 92, 1, 73, 74, 22, 27, 77, 78, 91, 11, 50, 18, 85, 86, 98, 1, 54, 59, 14, 15, 39, 44, 76, 23, 87, 17, 43, 58, 1, 90, 88, 5, 75, 57, 42, 24, 101, 96, 84, 33, 71, 51, 47, 1, 13, 70, 19, 62, 45, 64, 65, 6, 94, 60, 46, 3, 16, 1, 2, 67, 72, 66, 10, 36, 35, 49, 48, 31, 1, 40, 68, 55, 1]",0.266774,1
